"zip","population","city","county"
"61085",2923,"Stockton","Jo Daviess County"
"62550",2902,"Moweaqua","Shelby County"
"62694",2891,"Winchester","Scott County"
"62938",2874,"Golconda","Pope County"
"61053",2839,"Mount Carroll","Carroll County"
"62922",2824,"Creal Springs","Williamson County"
"62924",2812,"De Soto","Jackson County"
"62281",2811,"Saint Jacob","Madison County"
"62884",2809,"Sesser","Franklin County"
"62417",2807,"Bridgeport","Lawrence County"
"62428",2801,"Greenup","Cumberland County"
"61858",2797,"Oakwood","Vermilion County"
"61540",2771,"Lacon","Marshall County"
"61748",2732,"Hudson","McLean County"
"61529",2730,"Elmwood","Peoria County"
"62869",2729,"Norris City","White County"
"61537",2727,"Henry","Marshall County"
"62097",2723,"Worden","Madison County"
"61250",2713,"Erie","Whiteside County"
"62288",2701,"Steeleville","Randolph County"
"62939",2693,"Goreville","Johnson County"
"62080",2688,"Ramsey","Fayette County"
"61011",2681,"Caledonia","Boone County"
"61285",2661,"Thomson","Carroll County"
"61046",2659,"Lanark","Carroll County"
"62822",2597,"Christopher","Franklin County"
"62903",2585,"Carbondale","Jackson County"
"61736",2578,"Downs","McLean County"
"61756",2564,"Maroa","Macon County"
"60922",2557,"Chebanse","Kankakee County"
"62320",2557,"Camp Point","Adams County"
"61281",2553,"Sherrard","Mercer County"
"60157",2550,"Medinah","DuPage County"
"62082",2547,"Roodhouse","Greene County"
"62442",2540,"Martinsville","Clark County"
"60145",2539,"Kingston","DeKalb County"
"60043",2537,"Kenilworth","Cook County"
"61024",2524,"Durand","Winnebago County"
"61734",2520,"Delavan","Tazewell County"
"62917",2516,"Carrier Mills","Saline County"
"62670",2514,"New Berlin","Sangamon County"
"61726",2508,"Chenoa","McLean County"
"61561",2500,"Roanoke","Woodford County"
"61723",2498,"Atlanta","Logan County"
"62424",2475,"Dieterich","Effingham County"
"61817",2471,"Catlin","Vermilion County"
"60953",2444,"Milford","Iroquois County"
"61842",2434,"Farmer City","De Witt County"
"61012",2424,"Capron","Boone County"
"62092",2422,"White Hall","Greene County"
"62237",2411,"Coulterville","Perry County"
"62468",2369,"Toledo","Cumberland County"
"61533",2363,"Glasford","Peoria County"
"62691",2355,"Virginia","Cass County"
"62890",2338,"Thompsonville","Franklin County"
"61924",2317,"Chrisman","Edgar County"
"62326",2315,"Colchester","McDonough County"
"60424",2309,"Gardner","Grundy County"
"61030",2292,"Forreston","Ogle County"
"61491",2276,"Wyoming","Stark County"
"62458",2275,"Saint Elmo","Fayette County"
"60531",2269,"Leland","LaSalle County"
"61760",2257,"Minonk","Woodford County"
"62044",2256,"Greenfield","Greene County"
"62501",2242,"Argenta","Macon County"
"60927",2233,"Clifton","Iroquois County"
"62870",2232,"Odin","Marion County"
"62692",2228,"Waverly","Morgan County"
"60184",2220,"Wayne","DuPage County"
"60556",2216,"Waterman","DeKalb County"
"62548",2202,"Mount Pulaski","Logan County"
"62935",2200,"Galatia","Saline County"
"62240",2197,"East Carondelet","St. Clair County"
"60146",2193,"Kirkland","DeKalb County"
"62677",2176,"Pleasant Plains","Sangamon County"
"60476",2169,"Thornton","Cook County"
"62926",2167,"Dongola","Union County"
"61535",2163,"Groveland","Tazewell County"
"62882",2162,"Sandoval","Marion County"
"62910",2150,"Brookport","Massac County"
"61843",2138,"Fisher","Champaign County"
"62087",2121,"South Roxana","Madison County"
"61373",2117,"Utica","LaSalle County"
"62067",2106,"Moro","Madison County"
"61427",2095,"Cuba","Fulton County"
"62958",2091,"Makanda","Jackson County"
"61326",2083,"Granville","Putnam County"
"62418",2076,"Brownstown","Fayette County"
"62215",2074,"Albers","Clinton County"
"61256",2063,"Hampton","Rock Island County"
"60034",2061,"Hebron","McHenry County"
"61534",2057,"Green Valley","Tazewell County"
"62849",2039,"Iuka","Marion County"
"62846",2026,"Ina","Jefferson County"
"61732",2017,"Danvers","McLean County"
"61062",2015,"Pearl City","Stephenson County"
"62895",2014,"Wayne City","Wayne County"
"62218",2009,"Bartelso","Clinton County"
"60150",2007,"Malta","DeKalb County"
"62844",2002,"Grayville","White County"
"62347",1999,"Liberty","Adams County"
"62271",1994,"Okawville","Washington County"
"62451",1981,"Palestine","Crawford County"
"61376",1960,"Walnut","Bureau County"
"61849",1955,"Homer","Champaign County"
"62898",1955,"Woodlawn","Jefferson County"
"62427",1948,"Flat Rock","Crawford County"
