"zip","population","city","county"
"38380",370,"Sugar Tree","Decatur County"
"38387",361,"Westport","Carroll County"
"38453",347,"Dellrose","Lincoln County"
"37383",326,"Sewanee","Franklin County"
"38359",316,"Milledgeville","Hardin County"
"38569",309,"Lancaster","Smith County"
"37376",294,"Sherwood","Franklin County"
"38376",253,"Shiloh","Hardin County"
"38589",248,"Wilder","Fentress County"
"38471",244,"Lutts","Wayne County"
"38552",242,"Chestnut Mound","Smith County"
"38030",219,"Finley","Dyer County"
"38036",208,"Gallaway","Fayette County"
"38235",208,"McLemoresville","Carroll County"
"37340",207,"Guild","Marion County"
"38047",206,"Lenox","Dyer County"
"38226",199,"Dukedom","Weakley County"
"37396",192,"Whiteside","Marion County"
"38578",190,"Pleasant Hill","Cumberland County"
"38333",176,"Eva","Benton County"
"38054",159,"Millington","Shelby County"
"38455",157,"Elkton","Giles County"
"37848",135,"Powder Springs","Grainger County"
"37394",79,"Viola","Warren County"
"38338",79,"Gibson","Gibson County"
"38070",67,"Tigrett","Dyer County"
"38389",58,"Yorkville","Gibson County"
"38132",57,"Memphis","Shelby County"
"37165",38,"Slayden","Dickson County"
"38029",37,"Ellendale","Shelby County"
"37213",32,"Nashville","Davidson County"
"37732",32,"Elgin","Scott County"
"37730",29,"Eagan","Claiborne County"
"37719",10,"Coalfield","Morgan County"
"38021",10,"Crockett Mills","Crockett County"
"38046",10,"La Grange","Fayette County"
